activity_id,activity_date,advisor_id,rm_id,activity_type,product_discussed,asset_class_discussed,engagement_score,next_step_required,completed_followup,days_to_followup,meeting_duration_minutes
AC001877,2026-01-08,A0211,RM006,Webinar,Global Infrastructure Partners IV,Infrastructure,76,Yes,Yes,2.0,46
AC001878,2025-10-14,A0286,RM008,Intro Call,Growth Equity Partners III,Private Equity,60,Yes,Yes,22.0,43
AC001879,2025-06-14,A0196,RM009,Follow-up Call,Direct Lending Income Fund V,Private Credit,75,Yes,Yes,16.0,29
AC001880,2025-05-19,A0239,RM003,Follow-up Call,Direct Lending Income Fund V,Private Credit,61,No,No,,36
AC001881,2025-12-27,A0088,RM014,In-person Meeting,Opportunistic Real Estate Fund VI,Real Estate,53,Yes,Yes,9.0,85
AC001882,2025-12-18,A0147,RM016,Follow-up Call,Growth Equity Partners III,Private Equity,58,Yes,No,21.0,53
AC001883,2026-02-04,A0343,RM004,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,72,Yes,Yes,18.0,33
AC001884,2025-05-11,A0039,RM001,Follow-up Call,Growth Equity Partners III,Private Equity,76,No,No,,10
AC001885,2025-07-23,A0239,RM003,Follow-up Call,Growth Equity Partners III,Private Equity,48,No,No,,39
AC001886,2025-06-18,A0067,RM016,Product Education,Direct Lending Income Fund V,Private Credit,52,Yes,Yes,25.0,47
AC001887,2026-02-10,A0341,RM002,Intro Call,Senior Direct Lending Fund VI,Private Credit,66,No,No,,13
AC001888,2026-01-17,A0233,RM004,In-person Meeting,Opportunistic Credit Fund II,Private Credit,60,Yes,No,20.0,59
AC001889,2025-10-24,A0157,RM016,Due Diligence Meeting,Senior Direct Lending Fund VI,Private Credit,98,No,No,,66
AC001890,2025-12-10,A0095,RM003,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,97,Yes,Yes,8.0,71
AC001891,2025-12-30,A0174,RM016,Portfolio Review,Opportunistic Credit Fund II,Private Credit,41,No,No,,66
AC001892,2025-12-15,A0385,RM001,Product Education,Opportunistic Credit Fund II,Private Credit,53,Yes,Yes,3.0,38
AC001893,2025-07-03,A0202,RM002,Intro Call,Value-Add Real Estate Fund IV,Real Estate,56,No,No,,33
AC001894,2026-02-07,A0186,RM006,Intro Call,Value-Add Real Estate Fund IV,Real Estate,69,No,No,,35
AC001895,2025-12-19,A0305,RM007,Portfolio Review,Senior Direct Lending Fund VI,Private Credit,69,No,No,,94
AC001896,2025-08-07,A0147,RM016,Portfolio Review,Private Equity Buyout Fund VII,Private Equity,64,No,No,,33
AC001897,2026-03-04,A0172,RM009,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,64,Yes,Yes,17.0,48
AC001898,2025-09-03,A0128,RM002,Follow-up Call,Growth Equity Partners III,Private Equity,70,Yes,No,26.0,31
AC001899,2025-10-03,A0054,RM003,Follow-up Call,Growth Equity Partners III,Private Equity,62,Yes,Yes,9.0,47
AC001900,2026-04-03,A0289,RM008,Portfolio Review,Core Infrastructure Income Fund III,Infrastructure,91,No,No,,78
AC001901,2025-05-08,A0347,RM003,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,70,No,No,,41
AC001902,2025-06-07,A0362,RM014,Follow-up Call,Growth Equity Partners III,Private Equity,64,No,No,,34
AC001903,2025-07-08,A0349,RM014,Intro Call,Core Infrastructure Income Fund III,Infrastructure,76,Yes,Yes,6.0,24
AC001904,2025-09-07,A0182,RM013,Webinar,Opportunistic Real Estate Fund VI,Real Estate,39,Yes,Yes,11.0,47
AC001905,2025-05-26,A0107,RM004,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,57,Yes,No,15.0,34
AC001906,2025-06-08,A0258,RM009,Intro Call,Core Infrastructure Income Fund III,Infrastructure,54,Yes,Yes,17.0,34
AC001907,2025-08-01,A0383,RM010,Intro Call,Real Estate Income Fund II,Real Estate,39,No,No,,25
AC001908,2026-04-28,A0296,RM001,In-person Meeting,Value-Add Real Estate Fund IV,Real Estate,78,Yes,Yes,10.0,75
AC001909,2025-08-01,A0197,RM010,Intro Call,Real Estate Income Fund II,Real Estate,47,Yes,Yes,19.0,21
AC001910,2026-02-27,A0279,RM008,Intro Call,Real Estate Income Fund II,Real Estate,33,No,No,,29
AC001911,2025-09-06,A0315,RM016,In-person Meeting,Opportunistic Real Estate Fund VI,Real Estate,67,No,No,,86
AC001912,2025-11-21,A0369,RM011,Product Education,Direct Lending Income Fund V,Private Credit,78,Yes,Yes,25.0,22
AC001913,2025-05-05,A0310,RM010,Due Diligence Meeting,Opportunistic Credit Fund II,Private Credit,68,No,No,,82
AC001914,2025-07-26,A0173,RM016,Webinar,Value-Add Real Estate Fund IV,Real Estate,46,Yes,Yes,12.0,45
AC001915,2026-04-17,A0103,RM005,Webinar,Opportunistic Real Estate Fund VI,Real Estate,37,Yes,Yes,18.0,43
AC001916,2026-02-11,A0199,RM014,Portfolio Review,Senior Direct Lending Fund VI,Private Credit,76,No,No,,108
AC001917,2025-10-13,A0125,RM013,Due Diligence Meeting,Global Infrastructure Partners IV,Infrastructure,83,Yes,Yes,9.0,89
AC001918,2025-08-18,A0378,RM003,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,43,Yes,Yes,17.0,48
AC001919,2025-12-23,A0202,RM002,Due Diligence Meeting,Senior Direct Lending Fund VI,Private Credit,85,Yes,No,23.0,84
AC001920,2026-01-03,A0188,RM004,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,61,Yes,Yes,13.0,34
AC001921,2025-05-08,A0134,RM006,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,43,Yes,Yes,19.0,33
AC001922,2026-02-07,A0258,RM009,Follow-up Call,Opportunistic Credit Fund II,Private Credit,62,No,No,,49
AC001923,2026-02-07,A0205,RM014,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,52,No,No,,38
AC001924,2026-02-09,A0046,RM009,Due Diligence Meeting,Value-Add Real Estate Fund IV,Real Estate,95,Yes,Yes,16.0,87
AC001925,2025-05-17,A0345,RM016,In-person Meeting,Real Estate Income Fund II,Real Estate,58,No,No,,52
AC001926,2025-05-04,A0141,RM003,Webinar,Global Infrastructure Partners IV,Infrastructure,61,No,No,,40
AC001927,2025-06-14,A0173,RM016,Intro Call,Global Infrastructure Partners IV,Infrastructure,35,Yes,No,20.0,41
AC001928,2025-11-22,A0075,RM001,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,79,Yes,Yes,21.0,70
AC001929,2025-11-27,A0222,RM010,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,65,No,No,,29
AC001930,2025-06-20,A0285,RM011,Follow-up Call,Opportunistic Credit Fund II,Private Credit,67,Yes,Yes,28.0,18
AC001931,2026-02-13,A0349,RM014,Intro Call,Global Infrastructure Partners IV,Infrastructure,76,Yes,Yes,3.0,22
AC001932,2026-01-17,A0024,RM008,Intro Call,Real Estate Income Fund II,Real Estate,39,Yes,No,27.0,20
AC001933,2026-02-21,A0391,RM012,Follow-up Call,Direct Lending Income Fund V,Private Credit,56,No,No,,34
AC001934,2025-07-16,A0285,RM011,Webinar,Opportunistic Real Estate Fund VI,Real Estate,57,No,No,,45
AC001935,2026-03-01,A0107,RM004,Intro Call,Direct Lending Income Fund V,Private Credit,67,Yes,Yes,7.0,23
AC001936,2025-06-04,A0074,RM008,Due Diligence Meeting,Growth Equity Partners III,Private Equity,65,Yes,Yes,17.0,84
AC001937,2026-04-14,A0112,RM013,Product Education,Core Infrastructure Income Fund III,Infrastructure,60,No,No,,41
AC001938,2025-10-22,A0347,RM003,Intro Call,Core Infrastructure Income Fund III,Infrastructure,33,Yes,Yes,29.0,23
AC001939,2025-10-06,A0110,RM003,Webinar,Private Equity Buyout Fund VII,Private Equity,45,No,No,,50
AC001940,2025-09-18,A0186,RM006,Portfolio Review,Value-Add Real Estate Fund IV,Real Estate,77,No,No,,81
AC001941,2025-10-26,A0286,RM008,Due Diligence Meeting,Senior Direct Lending Fund VI,Private Credit,72,No,No,,63
AC001942,2025-05-27,A0346,RM016,Intro Call,Core Infrastructure Income Fund III,Infrastructure,59,Yes,Yes,8.0,56
AC001943,2025-07-21,A0267,RM007,Webinar,Senior Direct Lending Fund VI,Private Credit,77,Yes,No,17.0,45
AC001944,2026-03-16,A0306,RM009,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,100,Yes,Yes,9.0,40
AC001945,2025-12-09,A0062,RM016,Product Education,Opportunistic Real Estate Fund VI,Real Estate,86,Yes,Yes,26.0,34
AC001946,2026-01-22,A0348,RM003,Portfolio Review,Core Infrastructure Income Fund III,Infrastructure,58,No,No,,63
AC001947,2026-03-09,A0104,RM011,Webinar,Senior Direct Lending Fund VI,Private Credit,69,No,No,,36
AC001948,2025-08-30,A0046,RM009,Follow-up Call,Real Estate Income Fund II,Real Estate,66,Yes,Yes,2.0,51
AC001949,2025-12-17,A0394,RM005,Webinar,Global Infrastructure Partners IV,Infrastructure,41,Yes,Yes,10.0,54
AC001950,2025-09-15,A0073,RM002,Intro Call,Opportunistic Real Estate Fund VI,Real Estate,50,Yes,Yes,13.0,43
AC001951,2025-10-18,A0048,RM007,Intro Call,Senior Direct Lending Fund VI,Private Credit,66,No,No,,28
AC001952,2026-01-25,A0252,RM008,Intro Call,Real Estate Income Fund II,Real Estate,62,Yes,Yes,25.0,34
AC001953,2025-05-05,A0121,RM010,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,82,Yes,Yes,14.0,44
AC001954,2026-03-26,A0047,RM011,Webinar,Core Infrastructure Income Fund III,Infrastructure,53,No,No,,45
AC001955,2026-04-02,A0240,RM005,Intro Call,Direct Lending Income Fund V,Private Credit,61,Yes,Yes,16.0,24
AC001956,2026-03-07,A0308,RM003,In-person Meeting,Growth Equity Partners III,Private Equity,52,No,No,,88
AC001957,2025-08-15,A0323,RM016,Webinar,Core Infrastructure Income Fund III,Infrastructure,62,Yes,Yes,21.0,47
AC001958,2026-04-02,A0055,RM006,Portfolio Review,Global Infrastructure Partners IV,Infrastructure,62,No,No,,94
AC001959,2025-12-06,A0225,RM016,Product Education,Direct Lending Income Fund V,Private Credit,59,No,No,,48
AC001960,2025-05-29,A0331,RM013,Follow-up Call,Direct Lending Income Fund V,Private Credit,49,Yes,Yes,6.0,31
AC001961,2025-05-05,A0059,RM002,Intro Call,Direct Lending Income Fund V,Private Credit,54,Yes,Yes,13.0,50
AC001962,2025-06-02,A0076,RM007,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,60,Yes,No,9.0,43
AC001963,2026-03-09,A0001,RM006,Intro Call,Private Equity Buyout Fund VII,Private Equity,60,No,No,,34
AC001964,2025-10-30,A0207,RM008,Follow-up Call,Growth Equity Partners III,Private Equity,54,No,No,,27
AC001965,2025-08-05,A0071,RM003,Intro Call,Growth Equity Partners III,Private Equity,53,No,No,,26
AC001966,2026-01-16,A0294,RM012,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,45,No,No,,44
AC001967,2026-01-29,A0387,RM006,Webinar,Value-Add Real Estate Fund IV,Real Estate,60,Yes,Yes,2.0,44
AC001968,2025-12-09,A0076,RM007,Webinar,Global Infrastructure Partners IV,Infrastructure,65,Yes,Yes,10.0,55
AC001969,2025-11-08,A0261,RM005,Webinar,Private Equity Buyout Fund VII,Private Equity,57,Yes,Yes,7.0,57
AC001970,2026-01-08,A0077,RM005,Intro Call,Direct Lending Income Fund V,Private Credit,41,No,No,,31
AC001971,2025-05-24,A0009,RM010,Portfolio Review,Core Infrastructure Income Fund III,Infrastructure,81,Yes,Yes,11.0,106
AC001972,2025-11-18,A0308,RM003,Intro Call,Core Infrastructure Income Fund III,Infrastructure,40,No,No,,46
AC001973,2026-01-25,A0173,RM016,Webinar,Opportunistic Credit Fund II,Private Credit,63,Yes,Yes,7.0,43
AC001974,2025-10-27,A0380,RM003,Intro Call,Core Infrastructure Income Fund III,Infrastructure,34,Yes,No,23.0,27
AC001975,2026-02-04,A0212,RM007,Follow-up Call,Opportunistic Credit Fund II,Private Credit,62,No,No,,38
AC001976,2025-05-26,A0057,RM015,Intro Call,Direct Lending Income Fund V,Private Credit,43,Yes,Yes,9.0,31
AC001977,2025-07-20,A0181,RM003,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,49,Yes,Yes,16.0,31
AC001978,2025-08-04,A0074,RM008,Intro Call,Real Estate Income Fund II,Real Estate,40,Yes,No,3.0,37
AC001979,2026-02-15,A0349,RM014,Webinar,Senior Direct Lending Fund VI,Private Credit,67,Yes,Yes,28.0,63
AC001980,2026-03-05,A0280,RM004,In-person Meeting,Core Infrastructure Income Fund III,Infrastructure,94,Yes,Yes,19.0,93
AC001981,2025-05-13,A0130,RM009,Follow-up Call,Opportunistic Credit Fund II,Private Credit,65,Yes,No,21.0,25
AC001982,2025-12-29,A0209,RM010,Due Diligence Meeting,Real Estate Income Fund II,Real Estate,82,Yes,Yes,2.0,82
AC001983,2026-02-23,A0273,RM012,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,66,Yes,No,18.0,31
AC001984,2025-08-09,A0320,RM009,Follow-up Call,Global Infrastructure Partners IV,Infrastructure,69,Yes,Yes,27.0,31
AC001985,2025-11-19,A0031,RM010,Intro Call,Opportunistic Credit Fund II,Private Credit,51,No,No,,24
AC001986,2026-04-23,A0013,RM011,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,52,Yes,No,21.0,41
AC001987,2025-12-27,A0041,RM008,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,95,Yes,Yes,11.0,73
AC001988,2025-11-22,A0154,RM002,In-person Meeting,Opportunistic Real Estate Fund VI,Real Estate,67,No,No,,96
AC001989,2025-09-18,A0186,RM006,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,83,Yes,Yes,6.0,94
AC001990,2025-11-05,A0048,RM007,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,75,No,No,,35
AC001991,2025-05-30,A0162,RM015,Portfolio Review,Direct Lending Income Fund V,Private Credit,58,No,No,,80
AC001992,2025-09-11,A0176,RM003,In-person Meeting,Opportunistic Credit Fund II,Private Credit,75,No,No,,70
AC001993,2025-11-14,A0038,RM012,Product Education,Real Estate Income Fund II,Real Estate,61,Yes,Yes,4.0,29
AC001994,2025-06-29,A0367,RM002,Webinar,Private Equity Buyout Fund VII,Private Equity,68,Yes,Yes,19.0,44
AC001995,2025-10-03,A0239,RM003,Follow-up Call,Direct Lending Income Fund V,Private Credit,62,Yes,Yes,8.0,32
AC001996,2026-02-14,A0151,RM003,Webinar,Senior Direct Lending Fund VI,Private Credit,67,Yes,Yes,2.0,48
AC001997,2025-06-09,A0201,RM008,Webinar,Opportunistic Credit Fund II,Private Credit,72,Yes,Yes,21.0,49
AC001998,2025-11-05,A0119,RM007,In-person Meeting,Direct Lending Income Fund V,Private Credit,75,Yes,Yes,10.0,98
AC001999,2025-10-18,A0343,RM004,Webinar,Core Infrastructure Income Fund III,Infrastructure,55,Yes,Yes,4.0,49
AC002000,2026-01-07,A0231,RM003,Portfolio Review,Opportunistic Real Estate Fund VI,Real Estate,55,Yes,Yes,21.0,87
AC002001,2025-11-07,A0197,RM010,Product Education,Core Infrastructure Income Fund III,Infrastructure,90,Yes,Yes,12.0,44
AC002002,2026-01-28,A0364,RM003,Product Education,Opportunistic Real Estate Fund VI,Real Estate,57,Yes,Yes,19.0,29
AC002003,2026-02-18,A0340,RM016,In-person Meeting,Global Infrastructure Partners IV,Infrastructure,53,Yes,No,19.0,73
AC002004,2025-08-21,A0329,RM001,Follow-up Call,Growth Equity Partners III,Private Equity,53,No,No,,34
AC002005,2025-08-19,A0086,RM003,Portfolio Review,Senior Direct Lending Fund VI,Private Credit,55,Yes,Yes,27.0,63
AC002006,2025-07-21,A0054,RM003,Due Diligence Meeting,Growth Equity Partners III,Private Equity,81,Yes,Yes,8.0,75
AC002007,2025-08-04,A0279,RM008,Due Diligence Meeting,Opportunistic Real Estate Fund VI,Real Estate,67,No,No,,100
AC002008,2026-01-01,A0186,RM006,Follow-up Call,Real Estate Income Fund II,Real Estate,70,Yes,Yes,29.0,54
AC002009,2025-06-10,A0277,RM006,Product Education,Opportunistic Real Estate Fund VI,Real Estate,77,Yes,Yes,7.0,36
AC002010,2026-01-12,A0309,RM008,Due Diligence Meeting,Core Infrastructure Income Fund III,Infrastructure,85,No,No,,71
AC002011,2026-04-17,A0112,RM013,Webinar,Opportunistic Real Estate Fund VI,Real Estate,66,Yes,Yes,20.0,46
AC002012,2026-01-28,A0108,RM008,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,51,No,No,,32
AC002013,2025-07-27,A0196,RM009,In-person Meeting,Real Estate Income Fund II,Real Estate,94,Yes,Yes,21.0,97
AC002014,2025-08-31,A0103,RM005,Intro Call,Private Equity Buyout Fund VII,Private Equity,34,No,No,,31
AC002015,2026-04-07,A0272,RM012,Follow-up Call,Growth Equity Partners III,Private Equity,42,No,No,,32
AC002016,2025-07-27,A0305,RM007,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,57,No,No,,22
AC002017,2025-10-04,A0188,RM004,Webinar,Senior Direct Lending Fund VI,Private Credit,59,No,No,,68
AC002018,2025-11-22,A0294,RM012,Portfolio Review,Senior Direct Lending Fund VI,Private Credit,56,Yes,No,11.0,96
AC002019,2026-03-19,A0203,RM006,Intro Call,Senior Direct Lending Fund VI,Private Credit,58,No,No,,36
AC002020,2025-12-10,A0289,RM008,In-person Meeting,Opportunistic Credit Fund II,Private Credit,79,No,No,,56
AC002021,2026-02-21,A0085,RM002,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,78,No,No,,26
AC002022,2025-12-26,A0299,RM006,Due Diligence Meeting,Private Equity Buyout Fund VII,Private Equity,88,Yes,Yes,16.0,58
AC002023,2025-08-30,A0290,RM015,Product Education,Opportunistic Credit Fund II,Private Credit,53,Yes,Yes,17.0,40
AC002024,2025-06-19,A0101,RM005,Due Diligence Meeting,Global Infrastructure Partners IV,Infrastructure,61,No,No,,100
AC002025,2025-08-30,A0224,RM009,Portfolio Review,Growth Equity Partners III,Private Equity,68,No,No,,98
AC002026,2026-02-20,A0343,RM004,Follow-up Call,Real Estate Income Fund II,Real Estate,71,Yes,No,19.0,33
AC002027,2025-06-20,A0095,RM003,Follow-up Call,Direct Lending Income Fund V,Private Credit,83,Yes,Yes,12.0,41
AC002028,2025-10-08,A0299,RM006,In-person Meeting,Growth Equity Partners III,Private Equity,89,No,No,,74
AC002029,2025-11-02,A0382,RM010,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,84,No,No,,43
AC002030,2025-07-28,A0343,RM004,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,79,Yes,Yes,12.0,25
AC002031,2025-07-10,A0157,RM016,Portfolio Review,Real Estate Income Fund II,Real Estate,91,Yes,Yes,3.0,51
AC002032,2025-10-15,A0245,RM010,Intro Call,Private Equity Buyout Fund VII,Private Equity,52,Yes,Yes,6.0,45
AC002033,2025-08-20,A0399,RM006,Due Diligence Meeting,Private Equity Buyout Fund VII,Private Equity,74,Yes,Yes,2.0,52
AC002034,2026-01-28,A0228,RM009,In-person Meeting,Global Infrastructure Partners IV,Infrastructure,87,Yes,Yes,19.0,82
AC002035,2026-02-20,A0041,RM008,Follow-up Call,Core Infrastructure Income Fund III,Infrastructure,61,No,No,,25
AC002036,2026-02-27,A0021,RM010,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,72,Yes,No,15.0,41
AC002037,2025-05-25,A0323,RM016,Follow-up Call,Private Equity Buyout Fund VII,Private Equity,67,Yes,No,16.0,33
AC002038,2025-08-07,A0170,RM012,Follow-up Call,Growth Equity Partners III,Private Equity,81,Yes,Yes,26.0,28
AC002039,2026-03-21,A0095,RM003,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,80,No,No,,29
AC002040,2025-08-28,A0134,RM006,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,48,No,No,,68
AC002041,2025-07-17,A0307,RM014,Follow-up Call,Direct Lending Income Fund V,Private Credit,45,Yes,Yes,26.0,25
AC002042,2025-06-26,A0186,RM006,Intro Call,Private Equity Buyout Fund VII,Private Equity,62,Yes,Yes,4.0,34
AC002043,2026-02-24,A0345,RM016,Follow-up Call,Growth Equity Partners III,Private Equity,63,Yes,No,6.0,33
AC002044,2025-05-29,A0299,RM006,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,87,Yes,No,6.0,33
AC002045,2026-03-18,A0391,RM012,Intro Call,Direct Lending Income Fund V,Private Credit,27,Yes,Yes,8.0,34
AC002046,2026-04-26,A0352,RM002,Due Diligence Meeting,Value-Add Real Estate Fund IV,Real Estate,100,No,No,,112
AC002047,2025-09-06,A0096,RM010,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,76,Yes,Yes,21.0,27
AC002048,2025-09-02,A0267,RM007,Intro Call,Senior Direct Lending Fund VI,Private Credit,47,No,No,,26
AC002049,2025-06-17,A0011,RM014,Product Education,Core Infrastructure Income Fund III,Infrastructure,82,Yes,No,26.0,43
AC002050,2025-08-14,A0398,RM007,Intro Call,Direct Lending Income Fund V,Private Credit,69,Yes,No,10.0,45
AC002051,2025-07-14,A0098,RM009,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,85,Yes,Yes,13.0,70
AC002052,2026-04-11,A0271,RM014,Intro Call,Growth Equity Partners III,Private Equity,50,No,No,,33
AC002053,2026-02-20,A0342,RM003,Portfolio Review,Growth Equity Partners III,Private Equity,59,No,No,,80
AC002054,2025-05-07,A0058,RM007,Intro Call,Core Infrastructure Income Fund III,Infrastructure,61,No,No,,36
AC002055,2025-05-11,A0341,RM002,Product Education,Real Estate Income Fund II,Real Estate,63,No,No,,37
AC002056,2025-10-27,A0007,RM004,Webinar,Direct Lending Income Fund V,Private Credit,58,Yes,Yes,26.0,58
AC002057,2025-11-22,A0176,RM003,In-person Meeting,Growth Equity Partners III,Private Equity,69,Yes,No,16.0,79
AC002058,2026-01-30,A0188,RM004,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,62,No,No,,31
AC002059,2025-10-17,A0146,RM016,Follow-up Call,Direct Lending Income Fund V,Private Credit,73,Yes,Yes,17.0,35
AC002060,2025-12-19,A0235,RM005,Intro Call,Real Estate Income Fund II,Real Estate,54,No,No,,24
AC002061,2026-01-01,A0367,RM002,In-person Meeting,Opportunistic Credit Fund II,Private Credit,71,Yes,Yes,29.0,77
AC002062,2025-11-25,A0124,RM007,Follow-up Call,Value-Add Real Estate Fund IV,Real Estate,77,Yes,Yes,16.0,19
AC002063,2026-04-02,A0233,RM004,Webinar,Growth Equity Partners III,Private Equity,44,No,No,,58
AC002064,2025-08-08,A0349,RM014,Intro Call,Real Estate Income Fund II,Real Estate,63,No,No,,30
AC002065,2026-02-21,A0315,RM016,In-person Meeting,Global Infrastructure Partners IV,Infrastructure,69,Yes,No,27.0,65
AC002066,2025-12-02,A0020,RM014,In-person Meeting,Core Infrastructure Income Fund III,Infrastructure,70,No,No,,42
AC002067,2025-09-04,A0378,RM003,Intro Call,Core Infrastructure Income Fund III,Infrastructure,27,No,No,,31
AC002068,2026-02-02,A0022,RM003,Portfolio Review,Value-Add Real Estate Fund IV,Real Estate,71,Yes,Yes,12.0,51
AC002069,2026-04-18,A0236,RM006,Follow-up Call,Opportunistic Real Estate Fund VI,Real Estate,69,Yes,Yes,16.0,47
AC002070,2026-02-12,A0231,RM003,Webinar,Value-Add Real Estate Fund IV,Real Estate,59,Yes,Yes,29.0,53
AC002071,2025-07-08,A0322,RM006,Follow-up Call,Direct Lending Income Fund V,Private Credit,52,Yes,Yes,3.0,37
AC002072,2025-11-07,A0052,RM006,In-person Meeting,Opportunistic Real Estate Fund VI,Real Estate,93,Yes,Yes,4.0,85
AC002073,2025-12-21,A0064,RM011,Product Education,Growth Equity Partners III,Private Equity,67,No,No,,40
AC002074,2025-05-30,A0305,RM007,Follow-up Call,Growth Equity Partners III,Private Equity,63,Yes,Yes,12.0,37
AC002075,2025-09-28,A0054,RM003,Due Diligence Meeting,Direct Lending Income Fund V,Private Credit,79,No,No,,87
AC002076,2026-04-27,A0186,RM006,In-person Meeting,Core Infrastructure Income Fund III,Infrastructure,75,No,No,,63
AC002077,2025-06-24,A0297,RM006,Webinar,Global Infrastructure Partners IV,Infrastructure,65,Yes,Yes,9.0,46
AC002078,2025-08-23,A0262,RM009,Webinar,Real Estate Income Fund II,Real Estate,65,No,No,,63
AC002079,2025-11-30,A0077,RM005,Intro Call,Senior Direct Lending Fund VI,Private Credit,55,No,No,,44
AC002080,2025-12-29,A0116,RM005,Product Education,Core Infrastructure Income Fund III,Infrastructure,74,Yes,No,28.0,43
AC002081,2025-11-01,A0389,RM004,Intro Call,Core Infrastructure Income Fund III,Infrastructure,40,Yes,Yes,27.0,58
AC002082,2026-03-23,A0181,RM003,Intro Call,Value-Add Real Estate Fund IV,Real Estate,45,No,No,,37
AC002083,2025-12-07,A0021,RM010,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,92,Yes,No,27.0,79
AC002084,2026-03-25,A0080,RM006,Intro Call,Core Infrastructure Income Fund III,Infrastructure,54,No,No,,34
AC002085,2026-03-12,A0130,RM009,In-person Meeting,Global Infrastructure Partners IV,Infrastructure,80,No,No,,84
AC002086,2025-05-06,A0400,RM006,Webinar,Growth Equity Partners III,Private Equity,74,Yes,No,4.0,54
AC002087,2025-06-17,A0115,RM012,Product Education,Opportunistic Real Estate Fund VI,Real Estate,76,Yes,Yes,18.0,30
AC002088,2025-07-29,A0015,RM005,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,96,Yes,Yes,20.0,66
AC002089,2025-06-12,A0203,RM006,Follow-up Call,Opportunistic Credit Fund II,Private Credit,90,Yes,No,10.0,40
AC002090,2025-12-22,A0031,RM010,Follow-up Call,Senior Direct Lending Fund VI,Private Credit,60,No,No,,26
AC002091,2025-05-30,A0103,RM005,Intro Call,Private Equity Buyout Fund VII,Private Equity,19,Yes,Yes,5.0,28
AC002092,2025-06-02,A0399,RM006,Due Diligence Meeting,Opportunistic Credit Fund II,Private Credit,64,No,No,,76
AC002093,2026-02-05,A0285,RM011,Webinar,Real Estate Income Fund II,Real Estate,55,Yes,No,17.0,72
AC002094,2026-03-20,A0024,RM008,Product Education,Direct Lending Income Fund V,Private Credit,59,Yes,No,27.0,40
AC002095,2025-12-24,A0181,RM003,Follow-up Call,Real Estate Income Fund II,Real Estate,37,No,No,,40
AC002096,2025-10-29,A0062,RM016,Intro Call,Global Infrastructure Partners IV,Infrastructure,70,Yes,Yes,11.0,26
AC002097,2025-06-10,A0045,RM016,Intro Call,Real Estate Income Fund II,Real Estate,50,Yes,Yes,22.0,40
AC002098,2025-11-11,A0236,RM006,Webinar,Growth Equity Partners III,Private Equity,80,No,No,,44
AC002099,2026-02-19,A0200,RM007,Portfolio Review,Real Estate Income Fund II,Real Estate,83,No,No,,71
AC002100,2025-07-03,A0302,RM001,Product Education,Global Infrastructure Partners IV,Infrastructure,57,No,No,,37
AC002101,2026-02-27,A0355,RM010,Webinar,Global Infrastructure Partners IV,Infrastructure,42,Yes,Yes,28.0,34
AC002102,2026-02-24,A0094,RM005,In-person Meeting,Private Equity Buyout Fund VII,Private Equity,65,Yes,Yes,3.0,79
AC002103,2026-03-06,A0370,RM009,In-person Meeting,Senior Direct Lending Fund VI,Private Credit,69,No,No,,64
AC002104,2025-11-22,A0204,RM004,Product Education,Global Infrastructure Partners IV,Infrastructure,55,Yes,No,26.0,32
AC002105,2025-06-06,A0097,RM009,Follow-up Call,Opportunistic Credit Fund II,Private Credit,67,No,No,,27
AC002106,2025-11-19,A0341,RM002,Portfolio Review,Opportunistic Credit Fund II,Private Credit,69,Yes,Yes,4.0,76
